ZIP;NAME;TYPE;A0_NAME;A1_NAME;A2_NAME;A3_NAME;A4_NAME;A5_NAME;A6_NAME;A7_NAME;A8_NAME;X_COORDINATE;Y_COORDINATE;SERVICE_HOURS;TEMP_SERVICE_HOURS;TEMP_SERVICE_HOURS_UNTIL;TEMP_SERVICE_HOURS_2;TEMP_SERVICE_HOURS_2_UNTIL;comment_est;comment_eng;comment_rus;comment_lav;comment_lit;MODIFIED
96090;"Kiviõli Maxima pakiautomaat";0;EE;"Ida-Viru maakond";"Kiviõli linn";NULL;NULL;"Viru tänav";NULL;5;NULL;26.9732832867752;59.3590139514529;NULL;NULL;NULL;NULL;NULL;;;;;;2014-11-10+02:00
43101;"Kiviõli postkontor";1;EE;"Ida-Viru maakond";"Kiviõli linn";NULL;NULL;"Metsa tänav";NULL;3;NULL;26.9753729205437;59.356961982778;"E-R 9:00-18:00;L 9:00-13:00;P suletud";"20.08.2015 suletud";20.08.2015;"1.06.-31.08.15 avatud T-R 9:00-18:00;L 9:00-13:00;E,P suletud";31.08.2015;;;;;;2015-07-30+03:00
88838;"Klaipėdos LUKOIL Priestočio paštomatas";0;LT;Klaipėda;"Priestočio g. 28, Klaipėda";;;;;;;21.141022;55.719124;;;;;;;;;;"Paštomatą rasite lauke, prie įėjimo į parduotuvę, dešinėje pusėje";
88837;"Klaipėdos PC ARENA paštomatas";0;LT;Klaipėda;"Taikos pr. 64, Klaipėda";;;;;;;21.155785;55.687225;;;;;;;;;;"Paštomatą rasite lauke, prie įėjimo į Rimi, kairėje pusėje";
88841;"Klaipėdos PC BIG2 paštomatas";0;LT;Klaipėda;"Taikos pr. 141, Klaipėda";;;;;;;21.176233;55.664371;;;;;;;;;;"Paštomatą rasite lauke, prie pėsčiųjų alėjos";
88839;"Klaipėdos PC IKI Kretingos g. paštomatas";0;LT;Klaipėda;"Kretingos g. 83, Klaipėda";;;;;;;21.131737;55.733818;;;;;;;;;;"Paštomatą rasite lauke, prie sienos, iš Panevėžio g. pusės";
76793;"Klooga postkontor";1;EE;"Harju maakond";"Keila vald";"Klooga alevik";NULL;"Pargi tänav";NULL;9;NULL;24.2273673344481;59.3200758087271;"T,N,R,L 10:00-13:00;K 14:00-19:00;E,P suletud";"18.08.-02.09.15 suletud;lähim Keila pk";02.09.2015;"03.09.-27.09.15 avatud K 14:00-19:00;N 10:00-13:00;E,T,R,L,P suletud;lähim Keila pk";27.09.2015;;;;;;2015-08-28+03:00
73028;"Koeru postkontor";1;EE;"Järva maakond";"Koeru vald";"Koeru alevik";NULL;"Paide tee";NULL;5;NULL;26.0249030995778;58.9623148219623;"E-R 9:00-16:00;L 9:00-13:00;P suletud";"1.07.-31.08.15 avatud E,T,K,R 9:00-14:00;N 9:00-16:00;L 9:00-13:00;P suletud;lähim Järva-Jaani pk";31.08.2015;"20.08.2015 suletud;22.08.2015 avatud 9:00-11:00;lähim Järva-Jaani pk";22.08.2015;;;;;;2015-07-30+03:00
96094;"Kohila Konsumi pakiautomaat";0;EE;"Rapla maakond";"Kohila vald";"Kohila alev";NULL;"Vabaduse tänav";NULL;7;NULL;24.7507215655102;59.1671763707489;NULL;NULL;NULL;NULL;NULL;;;;;;2014-11-10+02:00
79891;"Kohila postkontor";1;EE;"Rapla maakond";"Kohila vald";"Kohila alev";NULL;"Lõuna tänav";NULL;2;NULL;24.7494484483921;59.1671915810072;"E-R 9:00-17:00;L 10:00-14:00;P suletud";"01.07.-31.08.15 avatud E-R 9:00-16:00;L 10:00-14:00;P suletud;lähim Saku pk";31.08.2015;"20.08.2015 suletud";20.08.2015;;;;;;2015-07-30+03:00
96036;"Kohtla-Järve Säästumarketi pakiautomaat";0;EE;"Ida-Viru maakond";"Kohtla-Järve linn";"Järve linnaosa";NULL;"Põhja allee";NULL;4;NULL;27.2849807279528;59.4073858107306;NULL;NULL;NULL;NULL;NULL;;;;;;2015-09-07+03:00
96093;"Kohtla-Järve Vironia keskuse pakiautomaat";0;EE;"Ida-Viru maakond";"Kohtla-Järve linn";"Järve linnaosa";NULL;"Järveküla tee";NULL;50;NULL;27.2862404888359;59.3981273618602;NULL;NULL;NULL;NULL;NULL;;;;;;2014-11-18+02:00
30301;"Kohtla-Järve postkontor";1;EE;"Ida-Viru maakond";"Kohtla-Järve linn";"Järve linnaosa";NULL;"Järveküla tee";NULL;50;NULL;27.2854028690346;59.3981417205009;"E-R 9:00-18:00;L 9:00-15:00;P suletud";"20.08.2015 suletud";20.08.2015;NULL;NULL;;;;;;2015-07-30+03:00
